Var1,Var2
"gou,xu","沟洫"
"gou,xue,pen,tou","狗血喷头"
"gou,yan","苟延"
"gou,yan,can,chuan","苟延残喘"
"gou,yan,er","沟沿儿"
"gou,yao,gou","狗咬狗"
"gou,yi","勾乙"
"gou,yi,si","够意思"
"gou,yin","勾引"
"gou,yong","够用"
"gou,yu","狗鱼"
"gou,zao","构造"
"gou,zao,di,zhen","构造地震"
"gou,zao,yun,dong","构造运动"
"gou,zhang,ren,shi","狗仗人势"
"gou,zhao","钩爪"
"gou,zhen","钩针"
"gou,zhi","购置,构置"
"gou,zhong","彀中"
"gou,zhu","构筑"
"gou,zhu,wu","构筑物"
"gou,zi","钩子"
"gou,zui,tu,bu,chu,xiang,ya","狗嘴吐不出象牙"
"gu","故,古,股,顾,固,姑,谷,鼓,骨,锢,孤,估,雇,辜,咕,沽,菇,蛊,箍,鹄,钴"
"gu,ai","骨癌"
"gu,ai,zi","孤哀子"
"gu,an,suan","谷氨酸"
"gu,ao","孤傲,古奥"
"gu,ba","古巴"
"gu,ban","古板"
"gu,bao","古堡,鼓包"
"gu,ben","股本,固本,孤本"
"gu,bi","古币"
"gu,biao","姑表"
"gu,biao,qin","姑表亲"
"gu,bu,de","顾不得"
"gu,bu,shang","顾不上"
"gu,bu,zi,feng","固步自封,故步自封"
"gu,can","孤残"
"gu,cang","谷仓"
"gu,cao","谷草"
"gu,ce","估测"
"gu,cha","古刹"
"gu,chan","估产"
"gu,che","雇车"
"gu,chen,nie,zi","孤臣孽子"
"gu,cheng","古城,故城,孤城"
"gu,chu","鼓出"
"gu,chui","鼓吹,鼓槌"
"gu,ci","故此,骨刺,固辞"
"gu,ci,sheng,zhi","孤雌生殖"
"gu,ci,shi,bi","顾此失彼"
"gu,dai","古代"
"gu,dan","孤单,孤胆"
"gu,dan,jun","固氮菌"
"gu,dang","鼓荡"
"gu,dao","孤岛,古道,鼓捣,故道,咕叨"
"gu,dao,re,chang","古道热肠"
"gu,di","谷底,谷地,故地,鹄的"
"gu,di,chong,you","故地重游"
"gu,dian","古典,鼓点"
"gu,dian,wen,xue","古典文学"
"gu,dian,yin,yue","古典音乐"
"gu,dian,zhu,yi","古典主义"
"gu,dian,zi","鼓点子"
"gu,diao","骨雕"
"gu,ding","固定"
"gu,ding,hui,lv","固定汇率"
"gu,ding,jia,ge","固定价格"
"gu,ding,zi,ben","固定资本"
"gu,ding,zi,chan","固定资产"
"gu,ding,zi,jin","固定资金"
"gu,dong","股东,古董,鼓动,咕咚"
"gu,dong,xing","鼓动性"
"gu,du","孤独,古都,故都,咕嘟"
"gu,dui,er","估堆儿"
"gu,duo","骨朵"
"gu,duo,er","骨朵儿"
"gu,er","孤儿,故而"
"gu,er,bang,jie","古尔邦节"
"gu,er,ci","鼓儿词"
"gu,er,gua,mu","孤儿寡母"
"gu,fang","古方,谷坊,固防"
"gu,fang,zi,shang","孤芳自赏"
"gu,fen","股份,骨粉"
"gu,fen,gong,si","股份公司"
"gu,fen,you,xian,gong,si","股份有限公司"
"gu,fen,zhi","股份制"
"gu,feng","古风,孤峰,鼓风"
"gu,feng,ji","鼓风机"
"gu,feng,lu","鼓风炉"
"gu,fu","辜负,姑父,姑夫"
"gu,gan","骨干"
"gu,gan,fen,zi","骨干分子"
"gu,gang,qin","古钢琴"
"gu,gao","孤高"
"gu,ge","骨骼"
"gu,ge,ji","骨骼肌"
"gu,geng","骨鲠"
"gu,geng,zai,hou","骨鲠在喉"
"gu,gong","故宫,雇工,股肱"
"gu,gong,bo,wu,yuan","故宫博物院"
"gu,gu","股骨,姑姑,呱呱,汩汩,咕咕"
"gu,gu,dan,dan","孤孤单单"
"gu,gu,nang,nang","鼓鼓囊囊"
"gu,gu,zhui,di","呱呱坠地"
"gu,gua","孤寡"
"gu,gua,lao,ren","孤寡老人"
"gu,guai","古怪"
"gu,guo","古国,故国"
"gu,hou","骨骺"
"gu,hua","固化,古话,骨化,古画"
"gu,hua,ji","固化剂"
"gu,hua,zuo,yong","骨化作用"
"gu,hui","骨灰"
"gu,hui,he","骨灰盒"
"gu,hun","孤魂"
"gu,huo","蛊惑"
"gu,huo,ren,xin","蛊惑人心"
"gu,ji","估计,古迹,顾及,古籍,顾忌,孤寂,痼疾,故技,咕唧"
"gu,ji,chong,yan","故伎重演"
"gu,jia","股价,估价,骨架,顾家"
"gu,jia,gua,ren","孤家寡人"
"gu,jia,zi","骨架子"
"gu,jian","固件"
"gu,jian,shang,nong","谷贱伤农"
"gu,jiao","骨胶,鼓角,故交"
"gu,jie","骨节,固结"
"gu,jie,he","骨结核"
"gu,jie,zuo,yong","固结作用"
"gu,jin","古今,鼓劲,股金"
"gu,jin,zhong,wai","古今中外"
"gu,jing,wu,bo","古井无波"
"gu,jiu","古旧,故旧,姑舅"
"gu,ju","故居"
"gu,jun","孤军"
"gu,jun,fen,zhan","孤军奋战"
"gu,ke","顾客,骨科,谷壳,古柯"
"gu,ke,jian","古柯碱"
"gu,kou","谷口"
"gu,ku","孤苦,骨库"
"gu,ku,ling,ding","孤苦伶仃"
"gu,lai","古来"
"gu,lan,jing","古兰经"
"gu,lang","鼓浪"
"gu,lao","古老,孤老"
"gu,lao,ye","姑老爷"
"gu,lei","谷类"
"gu,lei,zuo,wu","谷类作物"
"gu,li","鼓励,孤立,故里,股利,谷粒"
"gu,li,gu,guai","古里古怪"
"gu,li,mu","孤立木"
"gu,li,wu,yuan","孤立无援"
"gu,li,zhu,yi","孤立主义"
"gu,lian","顾恋,顾怜"
"gu,liang","估量"
"gu,liao","骨料"
"gu,ling","骨龄"
"gu,ling,ling","孤零零"
"gu,long","咕隆"
"gu,lou","鼓楼,固陋"
"gu,lou,gua,wen","孤陋寡闻"
"gu,lu","咕噜,轱辘,骨碌,轱轳"
"gu,lu,lu","骨碌碌"
"gu,lv","顾虑"
"gu,lv,chong,chong","顾虑重重"
"gu,ma","姑妈"
"gu,mi","谷米"
"gu,mian","顾眄"
"gu,miao","谷苗"
"gu,min","股民"
"gu,ming","沽名"
"gu,ming,diao,yu","沽名钓誉"
"gu,ming,si,yi","顾名思义"
"gu,mo","鼓膜,骨膜,估摸"
"gu,mu","古墓,姑母"
"gu,nai,nai","姑奶奶"
"gu,nang,nang","鼓囊囊"
"gu,nian","顾念"
"gu,niang","姑娘"
"gu,niang,er","姑娘儿"
"gu,niang,jia","姑娘家"
"gu,niu","牯牛"
"gu,nong","咕哝,雇农,鼓弄"
"gu,nong,xuan,xu","故弄玄虚"
"gu,nv","孤女"
"gu,pai","骨牌"
"gu,pan","顾盼"
"gu,pan,zi,xiong","顾盼自雄"
"gu,pen","骨盆"
"gu,pi","孤僻,痼癖"
"gu,piao","股票"
"gu,piao,shi,chang","股票市场"
"gu,ping","股评"
"gu,po","姑婆"
"gu,pu","古朴"
"gu,qi","鼓起,骨气,鼓气,骨器"
"gu,qian","古钱"
"gu,qie","姑且"
"gu,qin","古琴"
"gu,qing","雇请"
"gu,qu","故去,古曲"
"gu,quan","股权,顾全"
"gu,quan,da,ju","顾全大局"
"gu,ran","固然"
"gu,ren","古人,故人,贾人"
"gu,rong,ti","固溶体"
"gu,rou","骨肉"
"gu,rou,shen,qing","骨肉深情"
"gu,rou,xiang,lian","骨肉相连"
"gu,ruo","孤弱"
"gu,sao","姑嫂"
"gu,se,gu,xiang","古色古香"
"gu,se,ji","固色剂"
"gu,sha","固沙"
"gu,sha,lin","固沙林"
"gu,she","鼓舌"
"gu,shen","孤身"
"gu,shen,xing","谷神星"
"gu,shen,yi,ren","孤身一人"
"gu,sheng","鼓声"
"gu,sheng,dai","古生代"
"gu,sheng,jie","古生界"
"gu,sheng,wu","古生物"
"gu,shi","故事,股市,古诗,古时,故世,故实,古尸,鼓室"
"gu,shi,ci","古诗词"
"gu,shi,hou","古时候"
"gu,shi,hui","故事会"
"gu,shi,pian","故事片"
"gu,shi,xing","故事性"
"gu,shi,ying,pian","故事影片"
"gu,shi,yuan","故事员"
"gu,shou","固守,鼓手"
"gu,shou,ru,chai","骨瘦如柴"
"gu,shu","古书,故书"
"gu,shuang","孤孀"
"gu,suan","估算"
"gu,sui","骨髓,谷穗"
"gu,sui,yan","骨髓炎"
"gu,tai","固态,故态"
"gu,tai,fu,meng","故态复萌"
"gu,teng","古藤"
"gu,ti","固体,古体"
"gu,ti,chao","固体潮"
"gu,ti,ran,liao","固体燃料"
"gu,ti,shi","古体诗"
"gu,ti,yin,liao","固体饮料"
"gu,tong,se","古铜色"
"gu,tou","骨头"
"gu,tou,jia,zi","骨头架子"
"gu,tu","故土"
"gu,tu,nan,li","故土难离"
"gu,tu,nan,yi","故土难移"
"gu,wan","古玩"
"gu,wang,jin,lai","古往今来"
"gu,wang,ting,zhi","姑妄听之"
"gu,wang,yan,zhi","姑妄言之"
"gu,wei,jin,yong","古为今用"
"gu,wen","顾问,古文"
"gu,wen,hui,yi","顾问会议"
"gu,wen,zi","古文字"
"gu,wo","故我"
"gu,wu","鼓舞,谷物,古物"
"gu,wu,ren,xin","鼓舞人心"
"gu,xi","姑息,股息,古稀,顾惜,古昔,痼习"
"gu,xi,yang,jian","姑息养奸"
"gu,xiang","故乡,固相"
"gu,xiang,gu,se","古香古色"
"gu,xing","孤行"
"gu,xing,ji,jian","孤行己见"
"gu,xiu","顾绣"
"gu,xue","骨血"
"gu,xun","古训"
"gu,ya","古雅"
"gu,yan","孤雁,古谚"
"gu,ye","姑爷"
"gu,yi","故意"
"gu,yi,you,zhi","古已有之"
"gu,yin","古音"
"gu,ying,zi,lian","顾影自怜"
"gu,yong","雇佣,雇用"
"gu,yong,bing,yi,zhi","雇佣兵役制"
"gu,yong,guan,dian","雇佣观点"
"gu,yong,jun","雇佣军"
"gu,yong,lao,dong","雇佣劳动"
"gu,you","固有,故友"
"gu,yu","古语,谷雨"
"gu,yuan","雇员,故园,古猿,古远"
"gu,yue","鼓乐"
"gu,zao","鼓噪"
"gu,zhai","故宅"
"gu,zhang","故障,鼓掌,股长,鼓胀,姑丈"
"gu,zhang,nan,ming","孤掌难鸣"
"gu,zhe","骨折,瞽者"
"gu,zhen","古镇,骨针"
"gu,zheng","古筝,孤证"
"gu,zhi","股指,骨质,固执,故知,故址,故智,股值"
"gu,zhi,dui","故纸堆"
"gu,zhi,ji,jian","固执己见"
"gu,zhong","古冢"
"gu,zhu","雇主,顾主"
"gu,zhu,yi,zhi","孤注一掷"
"gu,zhuang","古装"
"gu,zhuo","古拙"
"gu,zi","股子,谷子,骨子,古字,孤子,姑子"
"gu,zi,li","骨子里"
"gu,zu","鼓足"
"gu,zu,gan,jin","鼓足干劲"
"gu,zuo","故作"
"gu,zuo,zi,tai","故作姿态"
"gua","挂,寡,瓜,卦,刮,褂,剐,呱"
"gua,ai","挂碍"
"gua,bao","挂包"
"gua,bi,zi","刮鼻子"
"gua,bian","挂鞭"
"gua,biao","挂表"
"gua,bu,di,zhong","寡不敌众"
"gua,bu,zhu","挂不住"
"gua,cai","挂彩"
"gua,che","挂车"
"gua,chi","挂齿"
"gua,ci","卦辞"
"gua,da","呱嗒"
"gua,da,ban","呱嗒板"
"gua,da,ban,er","呱嗒板儿"
"gua,dan","挂单"
"gua,dao","刮刀,刮倒"
"gua,deng","挂灯"
"gua,di,pi","刮地皮"
"gua,dian,hua","挂电话"
"gua,dou","挂斗"
"gua,fen","瓜分"
"gua,feng","刮风"
"gua,fu","寡妇"
"gua,ge","瓜葛"
"gua,gong","刮宫"
"gua,gou","挂钩"
"gua,gou,mo,guang","刮垢磨光"
"gua,gua,jiao","呱呱叫"
"gua,guan","挂冠"
"gua,guo","瓜果,挂果"
"gua,hao","挂号"
"gua,hao,xin","挂号信"
"gua,he","寡合"
"gua,hong","挂红"
"gua,hu,zi","刮胡子"
"gua,hua","挂花"
"gua,huai","挂怀"
"gua,huan","寡欢"
"gua,huang,zi","挂幌子"
"gua,huo","挂火"
"gua,ji","呱唧,挂记"
"gua,jia","挂甲"
"gua,jing,xian","挂镜线"
"gua,ju","寡居"
"gua,kao","挂靠"
"gua,lei","挂累"
"gua,li","挂历"
"gua,lian","刮脸"
"gua,lian,pi","刮脸皮"
"gua,lian,xian,chi","寡廉鲜耻"
"gua,ling","挂零"
"gua,lou","寡陋,挂漏"
"gua,lv","挂虑"
"gua,mian","挂面"
"gua,ming","挂名"
"gua,mu","寡母"
"gua,mu,xiang,dai","刮目相待"
"gua,mu,xiang,kan","刮目相看"
"gua,nian","挂念"
"gua,nong","瓜农"
"gua,pai","挂牌,挂拍"
"gua,pai,zi","挂牌子"
"gua,peng","瓜棚"
"gua,pi","瓜皮"
"gua,pi,mao","瓜皮帽"
"gua,pian","瓜片"
"gua,ping","挂屏"
"gua,qi","挂旗,寡妻"
"gua,qian","挂牵,挂欠"
"gua,qing","寡情"
"gua,rang","瓜瓤"
"gua,ren","寡人,瓜仁"
"gua,sha","刮痧"
"gua,shi","挂失"
"gua,shu,di,luo","瓜熟蒂落"
"gua,shuai","挂帅"
"gua,suo","挂锁"
"gua,tan","挂毯"
"gua,tian,li,xia","瓜田李下"
"gua,tou","寡头"
"gua,tou,zheng,zhi","寡头政治"
"gua,tu","挂图"
"gua,wan","瓜蔓"
"gua,wei","寡味"
"gua,wen","寡闻"
"gua,wu","诖误"
"gua,xiao","刮削,挂孝"
"gua,xie","挂鞋"
"gua,xin","挂心"
"gua,xue","挂靴"
"gua,yan","寡言"
"gua,yang","瓜秧"
"gua,yang,tou","挂羊头"
"gua,yang,tou,mai,gou,rou","挂羊头卖狗肉"
"gua,yi,lou,wan","挂一漏万"
"gua,you","刮油"
"gua,yu","寡欲"
"gua,zhang","挂账"
"gua,zhi","挂职"
"gua,zhi,xia,fang","挂职下放"
"gua,zhong","挂钟"
"gua,zhou","挂轴"
"gua,zi","瓜子,褂子"
"gua,zi,lian","瓜子脸"
"gua,zi,ren","瓜子仁"
"guai","怪,拐,乖"
"guai,bang","拐棒"
"guai,bo,er","拐脖儿"
"guai,bu,de","怪不得"
"guai,cai","怪才"
"guai,chuan","乖舛"
"guai,dai","拐带"
"guai,dan","怪诞"
"guai,dao","怪道"
"guai,guai","乖乖"
"guai,gun","拐棍"
"guai,hua","怪话"
"guai,jian","乖蹇"
"guai,jiao","拐角"
"guai,jie","怪杰"
"guai,jue","乖觉,怪谲"
"guai,ke","怪客"
"guai,li","乖戾"
"guai,li,guai,qi","怪里怪气"
"guai,lun","怪论"
"guai,mai","拐卖"
"guai,miu","乖谬"
"guai,mu,guai,yang","怪模怪样"
"guai,pi","怪癖,怪僻,乖僻"
"guai,pian","拐骗"
"guai,qiao","乖巧"
"guai,quan","怪圈"
"guai,ren","怪人"
"guai,sheng,guai,qi","怪声怪气"
"guai,shi","怪事,怪石"
"guai,shi,lin,xun","怪石嶙峋"
"guai,shou","怪兽"
"guai,tai","怪胎"
"guai,wan","拐弯"
"guai,wan,mo,jiao","拐弯抹角"
"guai,wei","怪味"
"guai,wu","怪物"
"guai,yang","怪样"
"guai,yi","怪异"
"guai,zhang","拐杖,乖张"
"guai,zi","拐子"
"guai,zui","怪罪"
"guan","关,官,管,观,馆,冠,贯,惯,灌,棺,罐,莞,鹳,倌"
"guan,ai","关爱,关隘,关碍"
"guan,ban","官办"
"guan,ban,qi,ye","官办企业"
"guan,bao","管保"
"guan,bao,si,chou","官报私仇"
"guan,ben,wei","官本位"
"guan,bi","关闭"
"guan,bi,min,fan","官逼民反"
"guan,bing","官兵"
"guan,bing,yi,zhi","官兵一致"
"guan,bu,zhao","管不着"
"guan,cai","管材,棺材"
"guan,cang","馆藏"
"guan,ce","观测"
"guan,ce,zhan","观测站"
"guan,cha","观察"
"guan,cha,jia","观察家"
"guan,cha,li","观察力"
"guan,cha,shao","观察哨"
"guan,cha,suo","观察所"
"guan,cha,yuan","观察员"
"guan,chai","官差"
"guan,chang","官场,惯常,灌肠"
"guan,chao","观潮"
"guan,chao,pai","观潮派"
"guan,che","贯彻,罐车"
"guan,che,shi,zhong","贯彻始终"
"guan,che,zhi,xing","贯彻执行"
"guan,cheng","官称,惯称"
"guan,chuan","贯穿,贯串"
"guan,dai","冠带"
"guan,dao","管道,关岛,官道,官倒,惯盗"
"guan,dao,xi,tong","管道系统"
"guan,di","官邸"
"guan,di,miao","关帝庙"
"guan,dian","观点,关店"
"guan,ding","灌顶"
"guan,dong","关东"
"guan,dong,tang","关东糖"
"guan,duan","管段"
"guan,fan","惯犯"
"guan,fang","官方,关防"
"guan,fei","官费,惯匪"
"guan,feng","观风"
"guan,feng,qin","管风琴"
"guan,fu","官府,官服,鳏夫"
"guan,fu,yuan,zhi","官复原职"
"guan,gai","灌溉,冠盖"
"guan,gai,qu","灌溉渠"
"guan,gan","观感"
"guan,gu","关顾"
"guan,gua","鳏寡"
"guan,gua,gu,du","鳏寡孤独"
"guan,guan,xiang,hu","官官相护"
"guan,guang","观光"
"guan,guang,tuan","观光团"
"guan,guang,zhe","观光者"
"guan,guo","棺椁"
"guan,hou,gan","观后感"
"guan,hu","关乎,管护"
"guan,hua","官话"
"guan,huai","关怀"
"guan,huai,bei,zhi","关怀备至"
"guan,huan","官宦"
"guan,ji","惯技"
"guan,jia","管家,官价"
"guan,jia,po","管家婆"
"guan,jia,zi","官架子"
"guan,jian","关键,管见"
"guan,jian,biao,zhun","关键标准"
"guan,jian,xing","关键性"
"guan,jian,zi","关键字"
"guan,jian,zuo,yong","关键作用"
"guan,jiang","灌浆"
"guan,jiao","管教"
"guan,jie","关节,官阶,管界"
"guan,jie,yan","关节炎"
"guan,jin","关紧,纶巾,关津"
"guan,jing","管井"
"guan,jiu","棺柩"
"guan,jue","官爵"
"guan,jun","冠军,官军"
"guan,jun,sai","冠军赛"
"guan,ka,ya","管卡压"
"guan,kan","观看"
"guan,kou","关口"
"guan,kui","管窥"
"guan,kui,li,ce","管窥蠡测"
"guan,lan","观览"
"guan,le","官了"
"guan,li","管理,惯例,官吏,观礼,关里"
"guan,li,chu","管理处"
"guan,li,ju","管理局"
"guan,li,suo","管理所"
"guan,li,tai","观礼台"
"guan,li,ti,zhi","管理体制"
"guan,li,tuan","观礼团"
"guan,li,xue","管理学"
"guan,li,yuan","管理员"
"guan,lian","关联"
"guan,lian,ci","关联词"
"guan,liang","惯量"
"guan,liao","官僚"
"guan,liao,zhu,yi","官僚主义"
"guan,liao,zi,ben","官僚资本"
"guan,liao,zi,ben,zhu,yi","官僚资本主义"
"guan,liao,zi,chan,jie,ji","官僚资产阶级"
"guan,long","罐笼"
"guan,lu","管路,灌录"
"guan,mao,zong,xie,ding","关贸总协定"
"guan,men","关门"
"guan,men,da,gou","关门打狗"
"guan,men,da,ji","关门大吉"
"guan,men,zhu,yi","关门主义"
"guan,mi","官迷"
"guan,mian","冠冕"
"guan,mian,tang,huang","冠冕堂皇"
"guan,ming","官名"
"guan,mo","观摩"
"guan,mu","灌木,棺木"
"guan,mu,cong","灌木丛"
"guan,nei","管内,关内"
"guan,neng","官能"
"guan,neng,tuan","官能团"
"guan,nian","观念"
"guan,nian,xing,tai","观念形态"
"guan,pian","管片,惯骗"
"guan,qi","官气"
"guan,qia","关卡"
"guan,qian,zi","管钳子"
"guan,qiang","官腔"
"guan,qie","关切,惯窃"
"guan,qu","灌区,管区,灌渠"
"guan,ren","官人"
"guan,sai","观赛"
"guan,shan","关山"
"guan,shang","观赏,关上,官商"
"guan,shang,xing","观赏性"
"guan,shang,yu","观赏鱼"
"guan,shang,zhi,wu","观赏植物"
"guan,she","馆舍,关涉"
"guan,shen","官绅,观审"
"guan,shi","管事"
"guan,shi,yin","观世音"
"guan,shu","灌输,管束,官署,盥漱"
"guan,shui","关税"
"guan,shui,bi,lei","关税壁垒"
"guan,shuo","关说"
"guan,si","官司"
"guan,ting","官厅"
"guan,ting,bing,zhuan","关停并转"
"guan,tong","贯通"
"guan,tou","罐头,关头,惯偷"
"guan,tou,he","罐头盒"
"guan,wai","关外"
"guan,wang","观望"
"guan,wei,hui","管委会"
"guan,xi","关系,盥洗"
"guan,xi,dao","关系到"
"guan,xi,hu","关系户"
"guan,xi,shi","盥洗室"
"guan,xi,wang","关系网"
"guan,xi,xue","关系学"
"guan,xia","管辖"
"guan,xian","管线,管弦,官衔"
"guan,xian,yue","管弦乐"
"guan,xian,yue,dui","管弦乐队"
"guan,xiang","关厢,关饷"
"guan,xiang,tai","观象台"
"guan,xin","关心"
"guan,xin,bing","冠心病"
"guan,xin,liang,shi","关心粮食"
"guan,xing","惯性"
"guan,xing,ding,lv","惯性定律"
"guan,xing,li","惯性力"
"guan,ya","关押,官衙"
"guan,yan,jian,zhu","观演建筑"
"guan,yang,wen,zhang","官样文章"
"guan,yao","官窑"
"guan,yi","冠以"
"guan,yin","观音,官印,官瘾"
"guan,yin,pu,sa","观音菩萨"
"guan,yin,tu","观音土"
"guan,yin,zhu","观音竹"
"guan,yong","管用,惯用"
"guan,yu","关于,惯于,关羽"
"guan,yu,cheng,xu","关于程序"
"guan,yu,zi","关于自"
"guan,yuan","官员"
"guan,yue","管乐"
"guan,yue,qi","管乐器"
"guan,yun","官运"
"guan,yun,heng,tong","官运亨通"
"guan,zei","惯贼"
"guan,zhan","观战,观瞻"
"guan,zhang","馆长,关张,官长"
"guan,zhao","关照"
"guan,zhe,ru,du","观者如堵"
"guan,zhe,ru,yun","观者如云"
"guan,zhi","管制,观止,官职,官制,灌制"
"guan,zhong","观众,关中"
"guan,zhong,hui","观众会"
"guan,zhong,kui,bao","管中窥豹"
"guan,zhong,xi","观众席"
"guan,zhu","关注,灌注,贯注"
"guan,zhuang","灌装,罐装"
"guan,zhuang,dong,mai","冠状动脉"
"guan,zhuang,hua","管状花"
"guan,zi","管子,罐子,馆子,管自,关子"
"guan,zong","惯纵"
"guan,zuo","官佐"
"guang","光,广,逛,咣,犷,胱"
"guang,an,suan","胱氨酸"
"guang,ban","光斑,光板"
"guang,ban,er","光板儿"
"guang,bang,zi","光膀子"
"guang,bi","光笔"
"guang,biao","光标"
"guang,bo","广播,广博,光波"
"guang,bo,cao","广播操"
"guang,bo,dian,shi,da,xue","广播电视大学"
"guang,bo,dian,tai","广播电台"
"guang,bo,dian,ying,dian,shi,bu","广播电影电视部"
"guang,bo,duan","广播段"
"guang,bo,jie,mu","广播节目"
"guang,bo,ju","广播剧"
"guang,bo,tai","广播台"
"guang,bo,ti,cao","广播体操"
"guang,bo,wang","广播网"
"guang,bo,yuan","广播员"
"guang,bo,zhan","广播站"
"guang,cai","光彩"
"guang,cai,duo,mu","光彩夺目"
"guang,cai,zhao,ren","光彩照人"
"guang,can","光灿"
"guang,can,can","光灿灿"
"guang,chang","广场"
"guang,chi","光赤"
"guang,chong","光宠"
"guang,da","广大,光大"
"guang,da,qun,zhong","广大群众"
"guang,dang","咣当,逛荡"
"guang,dao","广岛,光导"
"guang,dao,xian,wei","光导纤维"
"guang,deng","逛灯"
"guang,dian","光电"
"guang,dian,chi","光电池"
"guang,dian,er,ji,guan","光电二极管"
"guang,dian,guan","光电管"
"guang,dian,liu","光电流"
"guang,dian,xiao,ying","光电效应"
"guang,dian,zi","光电子"
"guang,dong","广东"
"guang,dong,sheng","广东省"
"guang,dong,xi","广东戏"
"guang,dong,yin,yue","广东音乐"
"guang,du","广度,光度"
"guang,du,ji","光度计"
"guang,er,gao,zhi","广而告之"
"guang,fan","广泛"
"guang,fan,xing","广泛性"
"guang,fan,ying","光反应"
"guang,feng,ji,yue","光风霁月"
"guang,fu","光复"
"guang,fu,she","光辐射"
"guang,gan","广柑"
"guang,gan,er","光杆儿"
"guang,gan,si,ling","光杆司令"
"guang,gao","广告"
"guang,gao,lan","广告栏"
"guang,gao,se","广告色"
"guang,gao,xue","广告学"
"guang,gu","光顾"
"guang,guai,lu,li","光怪陆离"
"guang,gun","光棍"
"guang,gun,er","光棍儿"
"guang,han","犷悍"
"guang,han,gong","广寒宫"
"guang,he,zuo,yong","光合作用"
"guang,hua","光华,光滑"
"guang,hua,xue","光化学"
"guang,hua,xue,yan,wu","光化学烟雾"
"guang,hua,zuo,yong","光化作用"
"guang,huan","光环"
"guang,hui","光辉"
"guang,hui,can,lan","光辉灿烂"
"guang,huo","光火,广货"
"guang,ji,suan,ji","光计算机"
"guang,jiao","广角,广交"
"guang,jiao,hui","广交会"
"guang,jiao,jing","广角镜"
"guang,jiao,jing,tou","广角镜头"
"guang,jie","逛街,光洁"
"guang,jie,du","光洁度"
"guang,jie,zuo,yong","光解作用"
"guang,jing","光景"
"guang,kai","广开"
"guang,kai,cai,lu","广开才路,广开财路"
"guang,kai,men,lu","广开门路"
"guang,kai,yan,lu","广开言路"
"guang,ke","光刻"
"guang,ke,jian,ren","光可鉴人"
"guang,kuo","广阔"
"guang,lan","光缆"
"guang,liang","光亮"
"guang,liang,zi","光量子"
"guang,liao","光疗"
"guang,lin","光临"
"guang,liu","光溜"
"guang,liu,liu","光溜溜"
"guang,lu,shi","光卤石"
"guang,mang","光芒"
"guang,mang,wan,zhang","光芒万丈"
"guang,mao","广袤"
"guang,mian","光面"
"guang,min","光敏"
"guang,min,dian,zu","光敏电阻"
"guang,ming","光明"
"guang,ming,da,dao","光明大道"
"guang,ming,lei,luo","光明磊落"
"guang,ming,ri,bao","光明日报"
"guang,ming,zheng,da","光明正大"
"guang,mo","广漠"
"guang,neng","光能"
"guang,nian","光年"
"guang,pan","光盘"
"guang,pu","光谱"
"guang,pu,fen,xi","光谱分析"
"guang,pu,xian","光谱线"
"guang,pu,xue","光谱学"
"guang,pu,yi","光谱仪"
"guang,qian,yu,hou","光前裕后"
"guang,qu","光驱"
"guang,quan","光圈"
"guang,rong","光荣"
"guang,rong,bang","光荣榜"
"guang,rong,bian","光荣匾"
"guang,rong,gan","光荣感"
"guang,run","光润"
"guang,sha","广厦"
"guang,shan","光栅"
"guang,shan,shan","光闪闪"
"guang,shen,xing","广深性"
"guang,shi","光是"
"guang,shu","光束"
"guang,su","光速"
"guang,tian,hua,ri","光天化日"
"guang,tong,liang","光通量"
"guang,tou","光头"
"guang,tu","光秃"
"guang,tu,tu","光秃秃"
"guang,tu,zhong,min","广土众民"
"guang,wei","广为"
"guang,xi","广西"
"guang,xi,zhuang,zu,zi,zhi,qu","广西壮族自治区"
"guang,xian","光纤,光线,光鲜"
"guang,xian,tong,xin","光纤通信"
"guang,xu","光绪"
"guang,xue","光学"
"guang,xue,bo,li","光学玻璃"
"guang,xue,xian,wei","光学纤维"
"guang,ya","光压"
"guang,yan","光焰,光艳"
"guang,yan,zhong","光艳中"
"guang,yang","光洋"
"guang,yao","光耀"
"guang,yi","广义"
"guang,yin","光阴"
"guang,yin,ren,ran","光阴荏苒"
"guang,yin,si,jian","光阴似箭"
"guang,you","逛游"
"guang,yu","广宇"
"guang,yu,wang","广域网"
"guang,yuan","光源,广远"
"guang,yun","光晕"
"guang,ze","光泽"
"guang,zhao","光照"
"guang,zhao,du","光照度"
"guang,zhong,bo,shou","广种薄收"
"guang,zhou","广州,光轴"
"guang,zhou,qi,yi","广州起义"
"guang,zhu","光柱"
"guang,zi","光子,桄子"
"guang,zi,xue","光子学"
"guang,zong,yao,zu","光宗耀祖"
"gui","规,归,贵,鬼,癸,桂,跪,轨,龟,柜,瑰,诡,闺,圭,硅,刽,桧,癸,鲑,晷"
"gui,an","归案"
"gui,ba,xi","鬼把戏"
"gui,bai","跪拜"
"gui,ban","龟板"
"gui,bao","瑰宝"
"gui,bei","龟背"
"gui,bi","规避"
"gui,bian","诡辩"
"gui,biao","圭表"
"gui,bin","贵宾"
"gui,bing","归并"
"gui,bu,jue","鬼不觉"
"gui,cai","鬼才"
"gui,cheng","规程,归程,诡称"
"gui,chu","柜橱,归除"
"gui,dang","归档"
"gui,dao","轨道,跪倒"
"gui,dao,heng","轨道衡"
"gui,dao,xi,tong","轨道系统"
